기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년수(명),2학년수(명),3학년수(명),4학년수(명),5학년수(명),6학년수(명),특수학급학생수(명),순회학급학생수(명),합계사항(명)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,도일초등학교,,공립,,N,,88,85,105,83,87,100,11,3,562(14)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,도창초등학교,,공립,,N,,33,32,38,34,35,36,2,0,210(2)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,목감초등학교,,공립,,N,,71,86,70,77,76,81,7,0,468(7)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,산현초등학교,,공립,,N,,142,101,87,62,71,53,0,0,516(0)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,운흥초등학교,,공립,,N,,94,82,63,68,59,47,1,0,414(1)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,조남초등학교,,공립,,N,,145,103,84,80,77,74,8,0,571(8)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,생금초등학교,,공립,,N,,94,80,87,82,80,62,5,0,490(5)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,월포초등학교,,공립,,N,,61,39,51,54,41,34,4,0,284(4)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,서촌초등학교,,공립,,N,,109,97,111,125,128,101,7,0,678(7)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,서해초등학교,,공립,,N,,172,174,158,180,175,167,8,3,1037(11)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,소래초등학교,,공립,,N,,65,71,64,78,82,80,5,0,445(5)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,송운초등학교,,공립,,N,,132,145,153,173,169,169,16,0,957(16)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥도원초등학교,,공립,,N,,65,84,74,76,81,89,5,0,474(5)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥월곶초등학교,,공립,,N,,144,142,109,127,116,117,6,0,761(6)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥장현초등학교,,공립,,N,,62,70,65,69,78,73,6,0,423(6)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,은계초등학교,,공립,,N,,81,82,92,100,122,119,4,5,605(9)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,장곡초등학교,,공립,,N,,155,204,166,175,198,164,6,0,1068(6)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,정왕초등학교,,공립,,N,,176,190,182,191,181,173,15,4,1112(19)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,진말초등학교,,공립,,N,,76,110,87,107,133,96,4,0,613(4)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,포리초등학교,,공립,,N,,50,47,47,57,41,47,3,0,292(3)
