,comment,author,date,like,type
70,곽윤기 선수 진짜 레전드네요 유튜버도 재밌게 하시고 말도 재밌게 잘하시고 인성 또한 남다르시고 진짜 쇼트트랙의 작은거인이자 아버지같네요 가짜사나이때부터 봤는데 정말 정말 정말 롤모델이십니다 !!,YB,2022-02-11T15:07:52Z,4,main-comment
71,내가 초등학생에서 중학생 고등학생 대학생 까지 변하는동안 곽윤기선수는 계속 국대인 느낌…정말 대단해ㅠㅠ 넘 멋있ㅠㅠㅠㅠ,yoo jin,2022-02-11T15:55:46Z,3,main-comment
72,진짜 노련함이 다르구나ㅜㅜ단체전에서 확실히 믿음이 가는 선수에요 꼭 한 건 해줄거 같은 기분이 듭니당ㅎㅎ,alsk3658 a,2022-02-12T00:18:32Z,1,main-comment
73,예능감에다 레이스까지잘뛰는 윤기선수 화이팅 대한민국화이팅,nature Yoo,2022-02-11T12:50:58Z,619,main-comment
74,우리 나라 선수들<br>너무 멎지심니다..<br>경기 보는데..<br>감동의 눈물이..^^&#39;<br>다들 너무 너무<br>수고 하셨어요..👍👏,노정이사랑,2022-02-12T02:10:54Z,0,main-comment
75,우리 나라 자랑 쇼트트랙 선수들💖 감사합니다 항상 차분하게 다치지 마시고 경기 이어나가 주세요💖,박떤떠 저장소,2022-02-11T16:05:32Z,1,main-comment
76,정말이지 눈물나는 경기였네요.ㅠㅠ 자랑스럽습니다! 수고하셨습니다! 남은 결승 경기도 잘 하세요! 화이팅!,KyungHwa,2022-02-12T02:24:37Z,0,main-comment
77,역시 경력에서 빛나는 실력이 스무스하게 라인안쪽을 타면서 통쾌하게 모든아쉬움 날려버리게 해줘서 너무감사~선수들이 메달상관없이 조심히 마무리 잘하고 귀국하시길 바랍니다^^,못난이,2022-02-11T20:53:26Z,0,main-comment
78,저걸 보고 뽕이 안넘칠수가 없다...곽윤기 선수 진짜 찌르는 타이밍이랑 위치 무서울정도로 날카롭고 정확하네요 다른 선수분들도 너무 너무 잘해주셨습니다 장거리 계주는 이런맛으로 봐야지~,뽈ᄏ,2022-02-11T13:34:22Z,831,main-comment
79,와 너무 멋있다 우리나라 선수들 너무 잘한다!!,에스델리,2022-02-11T15:52:46Z,0,main-comment
80,"계주 5000미터, 곽윤기선수의 노련함의 끝!  모든선수들이 다 잘했는데.. 곽윤기 선수는...와~~ 국대 짬에서나오는 바이브는 말로 형용이 안된다. 우리선수들이 포디움 가장 높은곳으로 올라갈 수 있길 🙏모든 선수들이 다 함께 메달을 걸 수 있ㄱㅣ를 바랍니다. 🙏 대한민국 화이팅 🙌",JIN ee,2022-02-11T15:20:53Z,0,main-comment
81,대한민국 남자계주 축하한다. 끝까지 최선을 다했다,Gabriell Jo,2022-02-12T01:14:02Z,1,main-comment
82,와 막판에 침착하게 저걸 해내내... 멋있어 가슴이 웅장해진다 ㅎㅎ,SJ B,2022-02-13T05:23:55Z,0,main-comment
83,그저 멋지다 <br>그저 감탄사가 저절로 나오는 아름다운 명장면 ❤,Suyoun Kim,2022-02-12T00:21:44Z,0,main-comment
84,어우..  곽윤기 선수 추월은 진짜 기가막힌다👍👍👍,지윤,2022-02-12T15:22:20Z,1,main-comment
85,와 진짜 노련하고 스케이팅을 굉장히 잘타네요!!   정말 개멋있네요 ㄷㄷㄷㄷㄷㄷㄷ,star 3s,2022-02-12T07:57:09Z,0,main-comment
86,곽윤기 선수 세월이 흘러도 늙지않고 계속 그 자리에서 현역 뛰었으면 좋겠다 ㅎㅎㅎ,sun kim,2022-02-11T16:19:08Z,1,main-comment
87,"<a href=""https://www.youtube.com/watch?v=gd1Ab-TeGCY&amp;t=6m50s"">6:50</a> 곽윤기 선수 미쳤다!!!! 네덜란드 선수 보면서 인코스로 들어가서 1위로 들어옴!!!! 결승에서 좋은결과 얻었어 시상식에서 준비한 세레머니 꼭!!! 보고 싶네용 ㅎㅎㅎ",귤🍊,2022-02-11T13:30:55Z,618,main-comment
88,"곽윤기 선수, 세계선수권은 금이 7개나 되는데 실력과 경력에 비해 올림픽 메달이 계주 은메달 하나뿐이라니 너무 아쉬워요. 이번에 꼭 금메달 목에 걸길. 제발🙏🙏",사월의나뭇잎,2022-02-11T16:25:45Z,2,main-comment
89,이런 선수가 올림픽 금메달 없다는건 말이 안되죠 이번만큼은 이 실력에 대해 올림픽 금메달로 보상받아야한다 봅니다!!!<br>금메달 가즈아~~~,윤마미,2022-02-11T19:15:11Z,0,main-comment
90,미쳤다 진짜 눈물나ㅠㅠㅠㅠㅠㅠㅠㅠ최고예요 선수들 ㅠㅠㅠㅜ,슈비루뚜밥바,2022-02-12T04:32:18Z,0,main-comment
91,진짜 우리선수들 너무너무 멋있다<br>곽윤기 지렸다~~,Lovevirus79 Won,2022-02-11T17:14:58Z,0,main-comment
92,우리나라에도 어리고 잘하는 선수들이 많지만 몇 번의 올림픽에서의 노련함과 치고나가는 스퍼트는 아직까지 곽윤기 선수가 최강인듯 동생들 멘탈까지 지켜주는 꽉잡아윤기 맏형으로도 든든하고 선수로도 멋있네요 대단해요🥺❣️,피콕블루,2022-02-11T13:42:45Z,332,main-comment
93,몇번을 봐도 졸라 멋있다 진짜,서지원,2022-02-11T15:14:35Z,3,main-comment
94,진짜 개쩐다… 상황 판단 능력이며.. 네 분 모두 대단합니다!!!!!!!!,은서,2022-02-12T12:10:56Z,0,main-comment
95,"이때 선수들 습관 다 나온 경기였는데 ㅌㅋㅋㅋㅋ 곽윤기선수는 다리사이로 뒷 선수보기,이준서선수는 고글만지기 등ㅋㅋㄱㅋ 모두 고생하셨고 결승 화이팅하세요",살려줘,2022-02-12T04:04:54Z,3,main-comment
96,대한민국🇰🇷🇰🇷🇰🇷🇰🇷 멋지다!!!!!! <br>힘내세요 우리나라 선수들ㅠㅠ,유튜브-급장기,2022-02-12T10:35:57Z,1,main-comment
97,곽윤기 진짜 잘한다 ㅋㅋ 부스터 쓴 것 같이 스피드 확 올리면서 추월하네 ㅋㅋ 결승 진출 ㅊㅋㅊㅋ,술먹은꼬꼬,2022-02-11T15:42:42Z,0,main-comment
98,와 마지막 추월진짜 대박 소름돋음....진짜 잘하신다....,수비니짜요짜요,2022-02-11T22:40:53Z,0,main-comment
99,곽윤기선수 34살에 아직도 국대를 하는 이유가 저 경기에 다 담겨있네 와 노련하고 여유롭고 빠르고 마지막 예능감까지 빠질께 없네,행운언니,2022-02-11T17:06:34Z,0,main-comment
100,곽윤기선수 든든합니다. 마지막 역전해주는 경기 멋집니다 ^^ 응원해요~,김엉클,2022-02-12T06:09:04Z,1,main-comment
101,곽윤기 당신은 그저 빛입니다...진짜 마지막에 너무 소름 돋았어요,어쩌라고,2022-02-11T12:56:52Z,642,main-comment
102,하 지금봐도 너무 떨린다.. 러시아가 뒤에 바짝 따라와서 추월당할까봐 걱정했는데 사이 벌리더니 곽윤기 인코스로 추월 미쳤어ㅠㅠㅠㅠ,핑구,2022-02-11T16:56:43Z,0,main-comment
103,곽윤기님 넘 잘해 추월속도 대박ㅠㅠㅠ마지막에 인코스로 치고나가는거보고 소리지르고 난리났음ㅋㅋㅋㅋㅋ,진우,2022-02-12T03:18:21Z,2,main-comment
104,우와... 인코스엔 곽윤기 선수구나 진짜 멋지다,이름,2022-02-11T19:11:22Z,1,main-comment
105,곽윤기 선수 마지막  인코스  추월  연습을 얼만큼 하고  구력이 얼만큼 되야 저런 누련미가 나오는건지? 얼마나 많은 피눈물이 있었는지 말 안해도 짐작이 갑니다 많이 축하하고 많이 존경하고 많이 좋와합니다  대한민국 선수들은 최고입니다,초능력둘리,2022-02-12T05:50:47Z,0,main-comment
106,곽윤기 선수 마지막 올림픽인데 꼭 계주 금메달 따기를 바랄게요🎖🎖🎖🎖🎖🎖🎖🎖,•J_J•,2022-02-11T12:57:57Z,648,main-comment
107,와 곽윤기 선수 진짜 개멋지다<br>순간적으로 속도 올리고 인코스 추월하는거 ㄹㅇ 미침,시연,2022-02-12T07:18:43Z,0,main-comment
108,아웃코스로 정신 쏙 빼앗고 바로 인코스로 치고나가는..곽윤기 선수 최고에요✨,태우 이,2022-02-12T14:57:06Z,0,main-comment
109,곽윤기 선수는 기록과 결승진출도 중요하게 생각하며 경기하지만 마지막 세레머니를 위해서라도 1위하려한것같아 그만큼 세레머니가 멋있고 메라도 잘찾고 근데 또 경기력도 좋아서 마지막에 역전 1위까지 <br>역시 곽윤기다,메롱,2022-02-11T16:48:17Z,1,main-comment
110,와..아웃코스로 계속찔러서 앞선수 유인하고<br>인코스로 파고드는 스피드<br>대단하네요 정말~~~!!!!!,김봉순,2022-02-11T15:33:12Z,0,main-comment
111,진짜 어제 보고 소리질렀다..ㅠㅠ안코스 추월 레전드!!! 남은 결승전도 화이팅!! 그리고 이럴줄 알았으면 우리도 평창때 우리나라 탈락시키지말고 메달 다 줄걸^^..,꼬리문탤,2022-02-12T00:14:22Z,1,main-comment
112,자랑스럽다 진짜ㅠㅠㅠ,강james,2022-02-12T01:12:06Z,1,main-comment
113,쇼트에 관심 없다가 가짜사나이 통해서 알게됬고 경기 영상도 봤는데 진짜 30대의 나인데도<br>순간 스피드가 엄청나게 폭발적이다.. 너무 대단함…,민승,2022-02-11T19:48:52Z,0,main-comment
114,진짜 잘 하데요~~^^  결승전 같이 소리 지르면서 봤다능~   멋졌어요.  우리선수들♡  <br>좋은 결과있기를 응원합니다~,구름위로,2022-02-11T15:49:32Z,0,main-comment
115,곽윤기 선수 마지막에 너무 멋있으셔ㅠㅠㅠ 4명 선수분들 다 수고하셨습니다ㅠ 이준서 잘생겼다..,모아,2022-02-11T16:39:21Z,0,main-comment
116,인코스 추월할 때마다 느끼는 게 의도하는건가 싶을 정도로 버터 바른 듯한 스무스로 추월.. 너무너무 대단하셔,피라,2022-02-11T17:21:29Z,0,main-comment
